,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
133,"RT @ndtv: 13,500 New #Covid19 Cases In Delhi; Arvind Kejriwal Says Cancel Board Exams https://t.co/bqh86KFDkU https://t.co/qURsy7o1m1","RT @ndtv: 13,500 New #Covid19 Cases In Delhi; Arvind Kejriwal Says Cancel Board Exams  ",#Covid Cases Delhi Arvind Kejriwal Says Cancel Board Exams,"['#', 'Covid', 'Cases', 'Delhi', 'Arvind', 'Kejriwal', 'Says', 'Cancel', 'Board', 'Exams']","['Covid', 'Cases', 'Delhi', 'Arvind', 'Kejriwal', 'Says', 'Cancel', 'Board', 'Exams']",   new #covid case delhi arvind kejriw say cancel board exam ,True,['@ndtv'],[],['#Covid19'],0
138,"#cancelboardexams2021
 As per the rising situation of Covid cases, the board exam 2021 should be cancelled.#myopinion #abed","#cancelboardexams2021
 As per the rising situation of Covid cases, the board exam 2021 should be cancelled.#myopinion #abed",#cancelboardexams rising situation Covid cases board exam should cancelled #myopinion #abed,"['#', 'cancelboardexams', 'rising', 'situation', 'Covid', 'cases', 'board', 'exam', 'should', 'cancelled', '#', 'myopinion', '#', 'abed']","['cancelboardexams', 'situation', 'Covid', 'cases', 'board', 'exam', 'myopinion']",#cancelboardexams per rise situat covid case board exam  cancel #myopinion #abed,False,[],[],"['#cancelboardexams2021', '#myopinion', '#abed']",0
140,@Ben_Mktg Ge yourself booked in fella,@Ben_Mktg Ge yourself booked in fella,yourself booked fella,"['yourself', 'booked', 'fella']",['fella'], ge book fella,False,[],['@Ben_Mktg'],[],0
148,RT @aisa_delhi: 10 &amp; 12th class CBSE students have been reaching out to us in anguish about holding of board exams in middle of 2nd wave of…,RT @aisa_delhi: 10 &amp; 12th class CBSE students have been reaching out to us in anguish about holding of board exams in middle of 2nd wave of…,class CBSE students have been reaching anguish about holding board exams middle wave,"['class', 'CBSE', 'students', 'have', 'been', 'reaching', 'anguish', 'about', 'holding', 'board', 'exams', 'middle', 'wave']","['class', 'CBSE', 'students', 'board', 'middle']",  amp th class cbse student reach us anguish hold board exam middl nd wave of…,True,['@aisa_delhi'],[],[],0
159,"RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…","RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…",Actor again backs students demands #cancelboardexams exam centres become COVID hots,"['Actor', 'again', 'backs', 'students', 'demands', '#', 'cancelboardexams', 'exam', 'centres', 'become', 'COVID', 'hots']","['Actor', 'students', 'demands', 'cancelboardexams', 'COVID', 'hots']", actor yet back students’ demand #cancelboardexams “don let exam centr becom covid hots…,True,['@nidhiindiatv'],['@SonuSood'],['#cancelboardexams2021'],0
171,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,RT @dinesh_sir: Thanks for taking decisions for safety of students. But please try to clear picture of future exam patterns asap. So that s…,Thanks taking decisions safety students please clear picture future exam patterns asap that,"['Thanks', 'taking', 'decisions', 'safety', 'students', 'please', 'clear', 'picture', 'future', 'exam', 'patterns', 'asap', 'that']","['Thanks', 'decisions', 'safety', 'students', 'picture', 'exam', 'patterns']", thank take decis safeti student pleas tri clear pictur futur exam pattern asap s…,True,['@dinesh_sir'],[],[],0
174,"RT @suchisoundlover: Around 65% of #Covid cases in Delhi are people under age of 45. 

In last 24 hours, 13,500 new cases reported in #Delh…","RT @suchisoundlover: Around 65% of #Covid cases in Delhi are people under age of 45. 

In last 24 hours, 13,500 new cases reported in #Delh…",Around #Covid cases Delhi people under last hours cases reported #Delh,"['Around', '#', 'Covid', 'cases', 'Delhi', 'people', 'under', 'last', 'hours', 'cases', 'reported', '#', 'Delh']","['Covid', 'cases', 'Delhi', 'people', 'hours', 'cases', 'Delh']", around  #covid case delhi peopl age  last  hour   new case report #delh…,True,['@suchisoundlover'],[],"['#Covid', '#Delh']",0
182,"RT @trolllikebroo: Delhi CM comes out in support of Students!

""If CBSE board exams are held in Delhi, 6 lakh students &amp; 1 lakh teachers wi…","RT @trolllikebroo: Delhi CM comes out in support of Students!

""If CBSE board exams are held in Delhi, 6 lakh students &amp; 1 lakh teachers wi…",Delhi comes support Students CBSE board exams held Delhi lakh students lakh teachers,"['Delhi', 'comes', 'support', 'Students', 'CBSE', 'board', 'exams', 'held', 'Delhi', 'lakh', 'students', 'lakh', 'teachers']","['Delhi', 'Students', 'CBSE', 'board', 'Delhi', 'students', 'teachers']", delhi cm come support student cbse board exam held delhi  lakh student amp  lakh teacher wi…,True,['@trolllikebroo'],[],[],0
185,RT @ZeeNewsEnglish: #Delhi Chief Minister #ArvindKejriwal appeals to the Centre to cancel the upcoming CBSE 2021 board exams following a sp…,RT @ZeeNewsEnglish: #Delhi Chief Minister #ArvindKejriwal appeals to the Centre to cancel the upcoming CBSE 2021 board exams following a sp…,#Delhi Chief Minister #ArvindKejriwal appeals Centre cancel upcoming CBSE board exams following,"['#', 'Delhi', 'Chief', 'Minister', '#', 'ArvindKejriwal', 'appeals', 'Centre', 'cancel', 'upcoming', 'CBSE', 'board', 'exams', 'following']","['Delhi', 'Chief', 'Minister', 'ArvindKejriwal', 'appeals', 'Centre', 'cancel', 'CBSE', 'board']", #delhi chief minist #arvindkejriwal appeal centr cancel upcom cbse  board exam follow sp…,True,['@ZeeNewsEnglish'],[],"['#Delhi', '#ArvindKejriwal']",0
193,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
